Name,Link,# of Papers
CLEVR,https://cs.stanford.edu/people/jcjohns/clevr/,1
Parkinson's,https://archive.ics.uci.edu/ml/datasets/Parkinsons,1
Bodyfat,https://www.openml.org/search?type=data&sort=runs&id=560&status=active,1
MONK's Problems,https://archive.ics.uci.edu/ml/datasets/MONK's+Problems,1
Congressional Voting Records,https://archive.ics.uci.edu/ml/datasets/congressional+voting+records,1
SPECT Heart,https://archive.ics.uci.edu/ml/datasets/SPECT+Heart,1
Tic-Tac-Toe,https://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame,1
Hayes-Roth,https://archive.ics.uci.edu/ml/datasets/Hayes-Roth,1
Nursery,https://archive.ics.uci.edu/ml/datasets/Nursery,1
Mushroom,https://archive.ics.uci.edu/ml/datasets/Mushroom,1
Breast Cancer,https://archive.ics.uci.edu/ml/datasets/Breast+Cancer,1
Car Evaluation,https://archive.ics.uci.edu/ml/datasets/Car+Evaluation,1
Primary Tumor,https://archive.ics.uci.edu/ml/datasets/Primary+Tumor,1
Mammographic Mass,https://archive.ics.uci.edu/ml/datasets/Mammographic+Mass,1
Website Phishing,https://archive.ics.uci.edu/ml/datasets/Website+Phishing,1
Balance Scale,https://archive.ics.uci.edu/ml/datasets/Balance+Scale,1
Wine,https://archive.ics.uci.edu/ml/datasets/Wine,1
Iris,https://archive.ics.uci.edu/ml/datasets/Iris,1
Breast Cancer Coimbra,https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Coimbra,1
Optical Recognition of Handwritten Digits,http://archive.ics.uci.edu/ml/datasets/Optical+Recognition+of+Handwritten+Digits,1
Graduate Student Admissions,https://stats.idre.ucla.edu/stat/data/binary.csv,1
Banknote Authentication,https://archive.ics.uci.edu/ml/datasets/banknote+authentication,1
Crowdsourced Mapping,https://archive.ics.uci.edu/ml/datasets/Crowdsourced+Mapping,1
Wifi Indoor Localization,https://archive.ics.uci.edu/ml/datasets/Wireless+Indoor+Localization,1
Vertebral Column,http://archive.ics.uci.edu/ml/datasets/vertebral+column,1
Planning Relax,https://archive.ics.uci.edu/ml/datasets/Planning+Relax,1
Diabetic Retinopathy Debrecen,https://archive.ics.uci.edu/ml/datasets/Diabetic+Retinopathy+Debrecen+Data+Set,1
Haberman's Survival,https://archive.ics.uci.edu/ml/datasets/Haberman%27s+Survival,1
Skin Segmentation,https://archive.ics.uci.edu/ml/datasets/Skin+Segmentation,1
HTRU2,https://archive.ics.uci.edu/ml/datasets/HTRU2,1
MAGIC Gamma Telescope,https://archive.ics.uci.edu/ml/datasets/MAGIC+Gamma+Telescope,1
Seeds,https://archive.ics.uci.edu/ml/datasets/seeds,1
EEG Eye State,https://archive.ics.uci.edu/ml/datasets/EEG+Eye+State,1
PERTARCH2,https://github.com/openeventdata/petrarch2/blob/master/petrarch2/data/text/GigaWord.sample.PETR.xml,1
CAMEO,https://parusanalytics.com/eventdata/data.dir/cameo.html,1
Goodreads Authors,https://www.kaggle.com/datasets/choobani/goodread-authors,1
FIFA Players,https://www.kaggle.com/datasets/stefanoleone992/fifa-20-complete-player-dataset,1
IBM HR Analytics,https://www.kaggle.com/datasets/pavansubhasht/ibm-hr-analytics-attrition-dataset,1
"AI, Algorithmic and Automation Incident and Controversy Repository (AIAAIC)","https://docs.google.com/spreadsheets/d/1Bn55B4xz21-_Rgdr8BBb2lt0n_4rzLGxFADMlVW0PYI/edit#gid=1051812323""",1
Communities and Crime,http://archive.ics.uci.edu/ml/datasets/communities+and+crime,1
JUSTFAIR,https://qsideinstitute.org/research/criminal-justice/justfair/,1
Common Objects in Context (COCO),https://cocodataset.org/,2
Conceptual Captions (CC),https://ai.google.com/research/ConceptualCaptions/,1
Diabetes (130 US Hospitals),https://archive.ics.uci.edu/ml/datasets/diabetes+130-us+hospitals+for+years+1999-2008,1
Medical Expenditure Panel Survey (MEPS),https://www.ahrq.gov/data/meps.html,1
Diabetes (LARS),https://hastie.su.domains/Papers/LARS/,2
